,ID_Gato,Raza,Edad,Enfermedad,Historial_Clinico,Sintomas,Condicion_Salud,Estilo_Vida,Tratamiento,Resultado
53,54,British Shorthair,2,Alergias,Ninguno,Leve,Ocasional,Interior,Terapia de fluidos,Deterioro
54,55,Bengalí,7,Enfermedad renal,Severo,Leve,Ocasional,Exterior,Terapia de fluidos,Mejora
55,56,Siamés,5,Alergias,Severo,Ninguno,Ninguna,Exterior,Antibióticos,Mejora
56,57,Persa,8,Infección urinaria,Moderado,Ninguno,Ninguna,Exterior,Insulina,Mejora
57,58,Bengalí,14,Infección urinaria,Ninguno,Leve,Crónica,Exterior,Terapia de fluidos,Deterioro
58,59,Persa,1,Enfermedad renal,Moderado,Ninguno,Ninguna,Exterior,Terapia de fluidos,Deterioro
59,60,Bengalí,13,Alergias,Moderado,Ninguno,Ninguna,Interior,Terapia de fluidos,Mejora
60,61,Persa,5,Diabetes,Leve,Severo,Ninguna,Exterior,Antibióticos,Mejora
61,62,Ragdoll,10,Hipertiroidismo,Severo,Moderado,Ocasional,Interior,Terapia de fluidos,Mejora
62,63,Ragdoll,3,Enfermedad renal,Leve,Leve,Ninguna,Interior,Antibióticos,Mejora
63,64,Ragdoll,13,Diabetes,Leve,Moderado,Ninguna,Interior,Medicación tiroidea,Mejora
64,65,Siamés,4,Enfermedad renal,Moderado,Moderado,Ninguna,Exterior,Antihistamínicos,Sin Cambio
65,66,Siamés,4,Alergias,Moderado,Severo,Crónica,Exterior,Insulina,Mejora
66,67,Siamés,7,Diabetes,Leve,Ninguno,Crónica,Interior,Terapia de fluidos,Sin Cambio
67,68,Siamés,4,Alergias,Ninguno,Leve,Crónica,Interior,Medicación tiroidea,Mejora
68,69,Siamés,2,Enfermedad renal,Severo,Severo,Ocasional,Interior,Terapia de fluidos,Deterioro
69,70,British Shorthair,3,Infección urinaria,Ninguno,Moderado,Ninguna,Exterior,Antihistamínicos,Mejora
70,71,Siamés,12,Hipertiroidismo,Ninguno,Moderado,Ninguna,Interior,Medicación tiroidea,Deterioro
71,72,Bengalí,1,Enfermedad renal,Moderado,Ninguno,Ocasional,Interior,Insulina,Sin Cambio
72,73,Persa,2,Alergias,Leve,Moderado,Ninguna,Interior,Insulina,Sin Cambio
73,74,Siamés,4,Alergias,Ninguno,Severo,Crónica,Interior,Terapia de fluidos,Sin Cambio
74,75,British Shorthair,15,Diabetes,Severo,Severo,Ninguna,Exterior,Insulina,Deterioro
75,76,Bengalí,15,Diabetes,Severo,Ninguno,Ocasional,Interior,Antihistamínicos,Deterioro
76,77,Ragdoll,9,Alergias,Moderado,Severo,Crónica,Interior,Insulina,Sin Cambio
77,78,British Shorthair,1,Alergias,Severo,Severo,Ocasional,Exterior,Insulina,Mejora
78,79,British Shorthair,4,Enfermedad renal,Ninguno,Moderado,Ocasional,Interior,Medicación tiroidea,Mejora
79,80,Bengalí,14,Diabetes,Severo,Ninguno,Crónica,Exterior,Insulina,Deterioro
80,81,Persa,5,Alergias,Moderado,Severo,Ninguna,Exterior,Medicación tiroidea,Mejora
81,82,Ragdoll,8,Infección urinaria,Leve,Ninguno,Crónica,Exterior,Antihistamínicos,Mejora
82,83,British Shorthair,13,Enfermedad renal,Leve,Leve,Ocasional,Interior,Antibióticos,Sin Cambio
83,84,Persa,8,Hipertiroidismo,Ninguno,Ninguno,Ninguna,Exterior,Insulina,Sin Cambio
84,85,Bengalí,15,Diabetes,Moderado,Leve,Ninguna,Interior,Medicación tiroidea,Sin Cambio
85,86,Ragdoll,9,Enfermedad renal,Leve,Leve,Ninguna,Exterior,Medicación tiroidea,Deterioro
86,87,Siamés,4,Enfermedad renal,Moderado,Moderado,Ocasional,Interior,Terapia de fluidos,Mejora
87,88,Bengalí,8,Infección urinaria,Ninguno,Severo,Ocasional,Exterior,Terapia de fluidos,Sin Cambio
88,89,Ragdoll,9,Alergias,Moderado,Moderado,Ninguna,Exterior,Antihistamínicos,Sin Cambio
89,90,Siamés,6,Diabetes,Severo,Severo,Ocasional,Exterior,Medicación tiroidea,Sin Cambio
90,91,British Shorthair,15,Hipertiroidismo,Moderado,Moderado,Ninguna,Interior,Antibióticos,Deterioro
91,92,Siamés,10,Hipertiroidismo,Moderado,Ninguno,Ninguna,Exterior,Antibióticos,Deterioro
92,93,Bengalí,4,Infección urinaria,Severo,Moderado,Ocasional,Interior,Insulina,Mejora
93,94,Persa,11,Alergias,Ninguno,Moderado,Ocasional,Exterior,Terapia de fluidos,Mejora
94,95,Siamés,3,Enfermedad renal,Moderado,Moderado,Crónica,Interior,Antibióticos,Mejora
95,96,British Shorthair,6,Hipertiroidismo,Moderado,Ninguno,Crónica,Exterior,Terapia de fluidos,Mejora
96,97,Persa,14,Infección urinaria,Leve,Leve,Ocasional,Exterior,Medicación tiroidea,Mejora
97,98,Bengalí,12,Enfermedad renal,Moderado,Ninguno,Ocasional,Interior,Terapia de fluidos,Mejora
98,99,Persa,5,Alergias,Moderado,Ninguno,Ninguna,Exterior,Insulina,Deterioro
99,100,Persa,4,Diabetes,Leve,Moderado,Crónica,Interior,Antibióticos,Mejora
100,101,Siamés,11,Enfermedad renal,Ninguno,Moderado,Ninguna,Exterior,Antibióticos,Mejora
101,102,Bengalí,3,Infección urinaria,Ninguno,Leve,Ocasional,Interior,Terapia de fluidos,Sin Cambio
102,103,Bengalí,4,Alergias,Leve,Leve,Crónica,Exterior,Medicación tiroidea,Deterioro
103,104,Bengalí,14,Hipertiroidismo,Leve,Ninguno,Crónica,Exterior,Insulina,Mejora
104,105,British Shorthair,14,Enfermedad renal,Leve,Moderado,Ocasional,Interior,Medicación tiroidea,Mejora
105,106,Persa,9,Hipertiroidismo,Leve,Severo,Ocasional,Exterior,Terapia de fluidos,Sin Cambio
106,107,Ragdoll,2,Hipertiroidismo,Ninguno,Moderado,Ocasional,Exterior,Insulina,Mejora
107,108,Bengalí,3,Diabetes,Moderado,Severo,Ninguna,Exterior,Insulina,Sin Cambio
108,109,British Shorthair,1,Enfermedad renal,Moderado,Moderado,Ocasional,Interior,Terapia de fluidos,Sin Cambio
109,110,British Shorthair,13,Hipertiroidismo,Leve,Moderado,Crónica,Interior,Antihistamínicos,Mejora
110,111,Ragdoll,11,Diabetes,Severo,Ninguno,Ocasional,Interior,Antibióticos,Mejora
111,112,Persa,15,Infección urinaria,Moderado,Ninguno,Ninguna,Exterior,Antihistamínicos,Mejora
112,113,British Shorthair,1,Diabetes,Severo,Moderado,Ocasional,Interior,Medicación tiroidea,Deterioro
113,114,Persa,10,Infección urinaria,Leve,Moderado,Crónica,Interior,Antibióticos,Mejora
114,115,Siamés,8,Infección urinaria,Moderado,Ninguno,Ocasional,Interior,Insulina,Mejora
115,116,Persa,6,Enfermedad renal,Severo,Leve,Ocasional,Exterior,Insulina,Mejora
116,117,Ragdoll,6,Diabetes,Moderado,Ninguno,Crónica,Exterior,Terapia de fluidos,Mejora
117,118,Ragdoll,2,Diabetes,Severo,Ninguno,Crónica,Interior,Antihistamínicos,Sin Cambio
118,119,Siamés,10,Enfermedad renal,Ninguno,Severo,Ninguna,Exterior,Medicación tiroidea,Mejora
119,120,Persa,5,Infección urinaria,Ninguno,Leve,Ocasional,Interior,Medicación tiroidea,Deterioro
120,121,British Shorthair,14,Hipertiroidismo,Ninguno,Leve,Crónica,Interior,Insulina,Mejora
121,122,Siamés,6,Infección urinaria,Severo,Severo,Ninguna,Interior,Antibióticos,Mejora
122,123,British Shorthair,15,Enfermedad renal,Leve,Ninguno,Crónica,Exterior,Antihistamínicos,Mejora
123,124,British Shorthair,11,Infección urinaria,Severo,Moderado,Ninguna,Exterior,Medicación tiroidea,Mejora
124,125,Bengalí,14,Diabetes,Ninguno,Ninguno,Ninguna,Interior,Antihistamínicos,Mejora
125,126,Siamés,12,Enfermedad renal,Moderado,Ninguno,Ninguna,Exterior,Antihistamínicos,Deterioro
126,127,Bengalí,2,Enfermedad renal,Severo,Ninguno,Crónica,Interior,Insulina,Mejora
127,128,Ragdoll,5,Infección urinaria,Severo,Leve,Ocasional,Interior,Terapia de fluidos,Mejora
128,129,Siamés,6,Enfermedad renal,Severo,Leve,Crónica,Interior,Antihistamínicos,Mejora
129,130,Bengalí,6,Infección urinaria,Moderado,Severo,Crónica,Exterior,Antibióticos,Sin Cambio
130,131,Siamés,4,Alergias,Moderado,Leve,Ocasional,Exterior,Antibióticos,Deterioro
131,132,Siamés,14,Enfermedad renal,Leve,Severo,Ocasional,Exterior,Terapia de fluidos,Sin Cambio
132,133,Persa,13,Alergias,Severo,Ninguno,Ocasional,Exterior,Antibióticos,Deterioro
133,134,British Shorthair,13,Enfermedad renal,Severo,Leve,Ocasional,Interior,Terapia de fluidos,Sin Cambio
134,135,Siamés,14,Enfermedad renal,Severo,Leve,Crónica,Interior,Medicación tiroidea,Mejora
135,136,British Shorthair,7,Hipertiroidismo,Moderado,Moderado,Crónica,Exterior,Medicación tiroidea,Mejora
136,137,Bengalí,12,Infección urinaria,Severo,Ninguno,Ninguna,Exterior,Antihistamínicos,Deterioro
137,138,Ragdoll,10,Diabetes,Moderado,Severo,Ocasional,Interior,Terapia de fluidos,Deterioro
138,139,Persa,15,Enfermedad renal,Leve,Moderado,Ninguna,Interior,Terapia de fluidos,Deterioro
139,140,Ragdoll,7,Hipertiroidismo,Leve,Moderado,Ocasional,Exterior,Antibióticos,Deterioro
140,141,Ragdoll,11,Infección urinaria,Severo,Severo,Ocasional,Exterior,Insulina,Sin Cambio
141,142,Persa,3,Hipertiroidismo,Ninguno,Ninguno,Crónica,Exterior,Insulina,Mejora
142,143,Persa,11,Hipertiroidismo,Leve,Severo,Ocasional,Interior,Antibióticos,Sin Cambio
143,144,Siamés,1,Hipertiroidismo,Moderado,Severo,Ocasional,Exterior,Antihistamínicos,Sin Cambio
144,145,Siamés,2,Alergias,Severo,Leve,Ninguna,Interior,Antihistamínicos,Sin Cambio
145,146,Ragdoll,14,Diabetes,Leve,Severo,Crónica,Interior,Insulina,Deterioro
146,147,Persa,7,Hipertiroidismo,Severo,Leve,Crónica,Interior,Antihistamínicos,Mejora
147,148,British Shorthair,15,Alergias,Moderado,Ninguno,Crónica,Interior,Terapia de fluidos,Mejora
148,149,British Shorthair,9,Infección urinaria,Severo,Leve,Ocasional,Interior,Antibióticos,Mejora
149,150,British Shorthair,1,Diabetes,Ninguno,Ninguno,Crónica,Interior,Medicación tiroidea,Mejora
150,151,Siamés,13,Enfermedad renal,Leve,Moderado,Ocasional,Interior,Antibióticos,Sin Cambio
151,152,British Shorthair,11,Infección urinaria,Moderado,Ninguno,Ninguna,Interior,Terapia de fluidos,Sin Cambio
152,153,Siamés,8,Alergias,Severo,Severo,Ninguna,Exterior,Antihistamínicos,Deterioro
153,154,Persa,1,Infección urinaria,Moderado,Ninguno,Ninguna,Exterior,Terapia de fluidos,Sin Cambio
154,155,Siamés,3,Infección urinaria,Ninguno,Leve,Crónica,Interior,Antihistamínicos,Sin Cambio
155,156,Bengalí,9,Diabetes,Severo,Ninguno,Crónica,Interior,Insulina,Mejora
156,157,Persa,13,Enfermedad renal,Leve,Leve,Crónica,Exterior,Insulina,Sin Cambio
157,158,British Shorthair,2,Hipertiroidismo,Severo,Severo,Ninguna,Interior,Antibióticos,Deterioro
158,159,Ragdoll,2,Alergias,Ninguno,Severo,Crónica,Interior,Antihistamínicos,Deterioro
159,160,Persa,5,Infección urinaria,Moderado,Ninguno,Ocasional,Exterior,Medicación tiroidea,Mejora
160,161,Siamés,10,Alergias,Leve,Severo,Ninguna,Interior,Terapia de fluidos,Mejora
161,162,Persa,2,Hipertiroidismo,Ninguno,Moderado,Ninguna,Interior,Terapia de fluidos,Sin Cambio
162,163,Ragdoll,15,Infección urinaria,Severo,Ninguno,Ocasional,Interior,Antihistamínicos,Mejora
163,164,Bengalí,3,Enfermedad renal,Severo,Moderado,Ocasional,Exterior,Medicación tiroidea,Sin Cambio
164,165,Bengalí,1,Hipertiroidismo,Leve,Moderado,Crónica,Interior,Terapia de fluidos,Sin Cambio
165,166,Persa,3,Enfermedad renal,Leve,Leve,Crónica,Exterior,Insulina,Mejora
166,167,Persa,10,Diabetes,Ninguno,Leve,Crónica,Interior,Insulina,Deterioro
167,168,Persa,7,Infección urinaria,Moderado,Ninguno,Ocasional,Exterior,Terapia de fluidos,Mejora
168,169,Persa,10,Diabetes,Ninguno,Leve,Ninguna,Interior,Insulina,Mejora
169,170,Persa,13,Enfermedad renal,Ninguno,Ninguno,Ocasional,Exterior,Antihistamínicos,Sin Cambio
170,171,Siamés,5,Enfermedad renal,Ninguno,Moderado,Ninguna,Exterior,Insulina,Mejora
171,172,British Shorthair,11,Alergias,Leve,Ninguno,Ocasional,Exterior,Terapia de fluidos,Mejora
172,173,British Shorthair,7,Diabetes,Moderado,Ninguno,Crónica,Exterior,Antihistamínicos,Mejora
173,174,British Shorthair,14,Hipertiroidismo,Severo,Severo,Ocasional,Interior,Insulina,Sin Cambio
174,175,Persa,4,Diabetes,Moderado,Moderado,Ninguna,Exterior,Medicación tiroidea,Mejora
175,176,Bengalí,6,Infección urinaria,Severo,Moderado,Crónica,Exterior,Antihistamínicos,Deterioro
176,177,Ragdoll,1,Diabetes,Moderado,Ninguno,Ninguna,Interior,Terapia de fluidos,Mejora
177,178,Siamés,1,Hipertiroidismo,Moderado,Moderado,Crónica,Interior,Insulina,Mejora
178,179,Persa,7,Diabetes,Severo,Moderado,Crónica,Exterior,Antihistamínicos,Sin Cambio
179,180,British Shorthair,3,Hipertiroidismo,Moderado,Severo,Ninguna,Interior,Antibióticos,Sin Cambio
180,181,Ragdoll,1,Hipertiroidismo,Leve,Severo,Ninguna,Interior,Antihistamínicos,Deterioro
181,182,British Shorthair,1,Diabetes,Moderado,Leve,Ocasional,Exterior,Medicación tiroidea,Sin Cambio
182,183,Ragdoll,10,Alergias,Ninguno,Moderado,Ocasional,Exterior,Terapia de fluidos,Sin Cambio
183,184,Ragdoll,4,Alergias,Ninguno,Ninguno,Ocasional,Interior,Insulina,Sin Cambio
184,185,British Shorthair,5,Diabetes,Severo,Severo,Ninguna,Exterior,Insulina,Deterioro
185,186,Persa,5,Hipertiroidismo,Leve,Moderado,Ocasional,Interior,Insulina,Sin Cambio
186,187,Persa,13,Hipertiroidismo,Ninguno,Moderado,Ninguna,Exterior,Antibióticos,Sin Cambio
187,188,Ragdoll,3,Hipertiroidismo,Ninguno,Leve,Ninguna,Interior,Insulina,Sin Cambio
188,189,Bengalí,7,Enfermedad renal,Severo,Severo,Crónica,Exterior,Antihistamínicos,Deterioro
189,190,Siamés,11,Hipertiroidismo,Severo,Leve,Crónica,Interior,Medicación tiroidea,Sin Cambio
190,191,Persa,5,Alergias,Leve,Leve,Ocasional,Interior,Antibióticos,Mejora
191,192,Persa,8,Alergias,Ninguno,Ninguno,Ninguna,Interior,Antihistamínicos,Sin Cambio
192,193,Persa,10,Enfermedad renal,Severo,Ninguno,Crónica,Exterior,Insulina,Sin Cambio
193,194,Ragdoll,14,Infección urinaria,Leve,Severo,Ocasional,Interior,Terapia de fluidos,Mejora
194,195,Ragdoll,14,Diabetes,Leve,Severo,Ocasional,Interior,Terapia de fluidos,Mejora
195,196,Persa,11,Infección urinaria,Moderado,Leve,Ocasional,Exterior,Antibióticos,Mejora
196,197,Siamés,11,Hipertiroidismo,Leve,Severo,Ocasional,Interior,Antibióticos,Sin Cambio
197,198,Persa,1,Alergias,Moderado,Severo,Crónica,Exterior,Antihistamínicos,Mejora
198,199,Siamés,1,Enfermedad renal,Moderado,Ninguno,Crónica,Interior,Antibióticos,Mejora
199,200,Bengalí,3,Enfermedad renal,Moderado,Leve,Ninguna,Interior,Insulina,Sin Cambio
200,201,Ragdoll,11,Alergias,Moderado,Ninguno,Ninguna,Exterior,Medicación tiroidea,Mejora
201,202,Siamés,9,Enfermedad renal,Ninguno,Severo,Ocasional,Exterior,Medicación tiroidea,Mejora
202,203,Bengalí,4,Alergias,Moderado,Leve,Ninguna,Interior,Insulina,Mejora
203,204,British Shorthair,6,Alergias,Leve,Ninguno,Ninguna,Interior,Medicación tiroidea,Mejora
204,205,British Shorthair,1,Infección urinaria,Severo,Severo,Ninguna,Exterior,Medicación tiroidea,Mejora
205,206,Siamés,2,Infección urinaria,Ninguno,Leve,Ocasional,Interior,Medicación tiroidea,Mejora
206,207,Siamés,7,Enfermedad renal,Ninguno,Moderado,Ninguna,Interior,Insulina,Mejora
207,208,British Shorthair,8,Enfermedad renal,Ninguno,Severo,Ocasional,Interior,Insulina,Deterioro
208,209,Bengalí,14,Alergias,Ninguno,Ninguno,Crónica,Exterior,Antihistamínicos,Sin Cambio
209,210,Persa,15,Alergias,Moderado,Moderado,Crónica,Exterior,Antihistamínicos,Mejora
210,211,Persa,12,Enfermedad renal,Leve,Ninguno,Ocasional,Exterior,Antihistamínicos,Deterioro
211,212,Siamés,9,Hipertiroidismo,Severo,Leve,Ninguna,Interior,Antihistamínicos,Deterioro
212,213,Bengalí,9,Alergias,Leve,Severo,Ocasional,Exterior,Antihistamínicos,Sin Cambio
213,214,Bengalí,7,Diabetes,Severo,Severo,Crónica,Interior,Medicación tiroidea,Mejora
214,215,British Shorthair,1,Enfermedad renal,Leve,Severo,Ninguna,Exterior,Terapia de fluidos,Mejora
215,216,Siamés,15,Alergias,Ninguno,Ninguno,Ocasional,Exterior,Terapia de fluidos,Deterioro
216,217,Siamés,12,Infección urinaria,Moderado,Leve,Crónica,Exterior,Insulina,Mejora
217,218,British Shorthair,3,Alergias,Moderado,Ninguno,Crónica,Interior,Terapia de fluidos,Deterioro
218,219,British Shorthair,10,Infección urinaria,Ninguno,Moderado,Crónica,Interior,Terapia de fluidos,Mejora
219,220,British Shorthair,12,Enfermedad renal,Severo,Severo,Ninguna,Interior,Antibióticos,Deterioro
220,221,Persa,4,Alergias,Ninguno,Moderado,Crónica,Interior,Insulina,Sin Cambio
221,222,Persa,11,Diabetes,Ninguno,Ninguno,Ninguna,Interior,Medicación tiroidea,Mejora
222,223,Ragdoll,3,Hipertiroidismo,Leve,Leve,Ocasional,Interior,Terapia de fluidos,Mejora
223,224,Siamés,11,Hipertiroidismo,Ninguno,Moderado,Crónica,Interior,Insulina,Sin Cambio
224,225,Bengalí,13,Diabetes,Severo,Ninguno,Ocasional,Exterior,Insulina,Sin Cambio
225,226,Siamés,4,Enfermedad renal,Ninguno,Severo,Ocasional,Exterior,Terapia de fluidos,Sin Cambio
226,227,Siamés,3,Enfermedad renal,Severo,Moderado,Ninguna,Exterior,Antibióticos,Deterioro
227,228,Ragdoll,3,Diabetes,Leve,Leve,Ocasional,Exterior,Insulina,Mejora
228,229,Persa,3,Hipertiroidismo,Leve,Ninguno,Ocasional,Interior,Terapia de fluidos,Sin Cambio
229,230,Siamés,10,Enfermedad renal,Leve,Leve,Ocasional,Interior,Insulina,Sin Cambio
230,231,Persa,6,Alergias,Leve,Severo,Crónica,Exterior,Antibióticos,Mejora
231,232,Siamés,4,Alergias,Moderado,Severo,Ocasional,Exterior,Antibióticos,Deterioro
232,233,Siamés,10,Hipertiroidismo,Moderado,Leve,Ocasional,Exterior,Medicación tiroidea,Sin Cambio
233,234,Persa,6,Enfermedad renal,Leve,Ninguno,Ninguna,Interior,Antibióticos,Mejora
234,235,Persa,13,Hipertiroidismo,Leve,Moderado,Ninguna,Interior,Antibióticos,Mejora
235,236,Siamés,6,Diabetes,Severo,Ninguno,Crónica,Interior,Medicación tiroidea,Sin Cambio
236,237,Persa,10,Hipertiroidismo,Ninguno,Moderado,Ocasional,Interior,Antihistamínicos,Deterioro
237,238,Siamés,7,Infección urinaria,Moderado,Moderado,Crónica,Exterior,Antihistamínicos,Mejora
238,239,Ragdoll,2,Alergias,Severo,Moderado,Ninguna,Interior,Antihistamínicos,Mejora
239,240,British Shorthair,5,Hipertiroidismo,Leve,Severo,Ocasional,Interior,Antibióticos,Deterioro
240,241,Persa,15,Alergias,Severo,Severo,Crónica,Interior,Medicación tiroidea,Sin Cambio
241,242,Siamés,3,Infección urinaria,Moderado,Moderado,Crónica,Exterior,Antihistamínicos,Mejora
242,243,Persa,6,Infección urinaria,Moderado,Ninguno,Ocasional,Exterior,Antihistamínicos,Mejora
243,244,Persa,15,Infección urinaria,Leve,Moderado,Crónica,Exterior,Antibióticos,Deterioro
244,245,Siamés,12,Enfermedad renal,Severo,Ninguno,Ocasional,Exterior,Terapia de fluidos,Deterioro
245,246,Ragdoll,8,Diabetes,Leve,Leve,Crónica,Interior,Antibióticos,Deterioro
246,247,Bengalí,8,Hipertiroidismo,Ninguno,Leve,Ninguna,Exterior,Insulina,Sin Cambio
247,248,Siamés,4,Enfermedad renal,Leve,Moderado,Crónica,Interior,Antibióticos,Sin Cambio
248,249,Persa,14,Enfermedad renal,Moderado,Leve,Ocasional,Interior,Medicación tiroidea,Sin Cambio
249,250,Siamés,15,Hipertiroidismo,Ninguno,Ninguno,Ninguna,Interior,Antibióticos,Mejora
250,251,Siamés,1,Enfermedad renal,Leve,Ninguno,Ocasional,Interior,Terapia de fluidos,Deterioro
251,252,Siamés,6,Alergias,Leve,Ninguno,Crónica,Exterior,Medicación tiroidea,Deterioro
252,253,Persa,12,Diabetes,Moderado,Severo,Ninguna,Interior,Terapia de fluidos,Mejora
253,254,Siamés,2,Hipertiroidismo,Ninguno,Moderado,Crónica,Exterior,Terapia de fluidos,Mejora
254,255,Bengalí,15,Alergias,Severo,Ninguno,Crónica,Exterior,Antihistamínicos,Mejora
255,256,British Shorthair,9,Infección urinaria,Leve,Leve,Crónica,Exterior,Antibióticos,Mejora
256,257,Siamés,9,Hipertiroidismo,Leve,Ninguno,Ocasional,Exterior,Antihistamínicos,Sin Cambio
257,258,Bengalí,15,Diabetes,Severo,Leve,Ninguna,Interior,Antihistamínicos,Sin Cambio
258,259,Bengalí,10,Alergias,Ninguno,Severo,Crónica,Exterior,Antibióticos,Deterioro
259,260,British Shorthair,2,Hipertiroidismo,Moderado,Moderado,Ninguna,Exterior,Antibióticos,Sin Cambio
