,ID_Gato,Raza,Edad,Enfermedad,Tratamiento,Resultado
106,107,Siamés,14,Infección urinaria,Antibióticos,Deterioro
107,108,Persa,11,Alergias,Antihistamínicos,Mejora
108,109,Siamés,11,Enfermedad renal,Antihistamínicos,Mejora
109,110,British Shorthair,3,Diabetes,Antihistamínicos,Mejora
110,111,British Shorthair,13,Hipertiroidismo,Terapia de fluidos,Mejora
111,112,Ragdoll,10,Hipertiroidismo,Insulina,Deterioro
112,113,Persa,12,Infección urinaria,Medicación tiroidea,Sin Cambio
113,114,Ragdoll,9,Alergias,Medicación tiroidea,Sin Cambio
114,115,British Shorthair,7,Alergias,Insulina,Mejora
115,116,Persa,9,Diabetes,Insulina,Mejora
116,117,Persa,8,Infección urinaria,Antihistamínicos,Mejora
117,118,British Shorthair,9,Alergias,Medicación tiroidea,Sin Cambio
118,119,Bengalí,15,Alergias,Antihistamínicos,Sin Cambio
119,120,Ragdoll,3,Enfermedad renal,Medicación tiroidea,Mejora
120,121,Persa,2,Alergias,Insulina,Sin Cambio
121,122,British Shorthair,15,Diabetes,Antihistamínicos,Mejora
122,123,Bengalí,10,Infección urinaria,Terapia de fluidos,Sin Cambio
123,124,Siamés,12,Enfermedad renal,Insulina,Sin Cambio
124,125,Siamés,1,Diabetes,Medicación tiroidea,Mejora
125,126,Siamés,15,Enfermedad renal,Medicación tiroidea,Mejora
126,127,Ragdoll,9,Diabetes,Medicación tiroidea,Mejora
127,128,Bengalí,15,Hipertiroidismo,Medicación tiroidea,Mejora
128,129,Siamés,13,Diabetes,Medicación tiroidea,Mejora
129,130,Ragdoll,11,Hipertiroidismo,Antibióticos,Mejora
130,131,British Shorthair,8,Hipertiroidismo,Antibióticos,Deterioro
131,132,British Shorthair,2,Enfermedad renal,Antibióticos,Deterioro
132,133,Persa,11,Hipertiroidismo,Antibióticos,Deterioro
133,134,Siamés,9,Diabetes,Medicación tiroidea,Mejora
134,135,Siamés,1,Enfermedad renal,Antihistamínicos,Sin Cambio
135,136,Ragdoll,4,Diabetes,Antihistamínicos,Sin Cambio
136,137,Persa,4,Hipertiroidismo,Antibióticos,Mejora
137,138,Siamés,15,Alergias,Medicación tiroidea,Sin Cambio
138,139,Ragdoll,11,Enfermedad renal,Antibióticos,Sin Cambio
139,140,Ragdoll,11,Diabetes,Insulina,Mejora
140,141,Persa,10,Enfermedad renal,Insulina,Deterioro
141,142,Ragdoll,5,Alergias,Medicación tiroidea,Sin Cambio
142,143,British Shorthair,10,Enfermedad renal,Antibióticos,Deterioro
143,144,Siamés,1,Enfermedad renal,Antibióticos,Mejora
144,145,Ragdoll,6,Hipertiroidismo,Terapia de fluidos,Mejora
145,146,Bengalí,15,Alergias,Antihistamínicos,Mejora
146,147,Siamés,1,Infección urinaria,Insulina,Mejora
147,148,Siamés,11,Diabetes,Antihistamínicos,Mejora
148,149,Ragdoll,2,Infección urinaria,Antibióticos,Mejora
149,150,Ragdoll,2,Infección urinaria,Antihistamínicos,Sin Cambio
150,151,British Shorthair,5,Enfermedad renal,Antibióticos,Deterioro
151,152,Ragdoll,4,Hipertiroidismo,Antihistamínicos,Mejora
152,153,Siamés,9,Alergias,Medicación tiroidea,Mejora
153,154,Persa,5,Enfermedad renal,Antihistamínicos,Sin Cambio
154,155,British Shorthair,14,Hipertiroidismo,Antibióticos,Mejora
155,156,Persa,8,Alergias,Insulina,Mejora
156,157,Ragdoll,2,Infección urinaria,Medicación tiroidea,Deterioro
157,158,Persa,1,Diabetes,Terapia de fluidos,Mejora
158,159,Siamés,15,Diabetes,Antibióticos,Mejora
159,160,Ragdoll,3,Infección urinaria,Antibióticos,Sin Cambio
160,161,British Shorthair,15,Diabetes,Medicación tiroidea,Deterioro
161,162,Ragdoll,10,Hipertiroidismo,Insulina,Deterioro
162,163,British Shorthair,9,Enfermedad renal,Antihistamínicos,Mejora
163,164,Siamés,7,Alergias,Terapia de fluidos,Mejora
164,165,Persa,11,Enfermedad renal,Insulina,Sin Cambio
165,166,Bengalí,12,Hipertiroidismo,Terapia de fluidos,Mejora
166,167,Siamés,10,Hipertiroidismo,Antihistamínicos,Mejora
167,168,Persa,5,Alergias,Insulina,Deterioro
168,169,Siamés,3,Infección urinaria,Terapia de fluidos,Sin Cambio
169,170,Persa,5,Enfermedad renal,Antihistamínicos,Deterioro
170,171,Ragdoll,9,Alergias,Medicación tiroidea,Mejora
171,172,Siamés,7,Diabetes,Insulina,Mejora
172,173,British Shorthair,15,Alergias,Terapia de fluidos,Mejora
173,174,British Shorthair,12,Diabetes,Antihistamínicos,Sin Cambio
174,175,Persa,10,Enfermedad renal,Terapia de fluidos,Deterioro
175,176,Ragdoll,14,Diabetes,Antihistamínicos,Deterioro
176,177,Ragdoll,8,Alergias,Terapia de fluidos,Mejora
177,178,Bengalí,9,Enfermedad renal,Terapia de fluidos,Deterioro
178,179,Siamés,3,Infección urinaria,Antihistamínicos,Sin Cambio
179,180,Siamés,15,Alergias,Terapia de fluidos,Mejora
180,181,Bengalí,8,Hipertiroidismo,Terapia de fluidos,Deterioro
181,182,Persa,6,Enfermedad renal,Medicación tiroidea,Deterioro
182,183,Siamés,6,Hipertiroidismo,Medicación tiroidea,Sin Cambio
183,184,Persa,13,Enfermedad renal,Insulina,Sin Cambio
184,185,British Shorthair,5,Infección urinaria,Medicación tiroidea,Sin Cambio
185,186,Persa,11,Alergias,Insulina,Mejora
186,187,British Shorthair,6,Diabetes,Antihistamínicos,Mejora
187,188,British Shorthair,9,Hipertiroidismo,Antibióticos,Sin Cambio
188,189,Siamés,2,Enfermedad renal,Terapia de fluidos,Mejora
189,190,Siamés,3,Enfermedad renal,Antibióticos,Mejora
190,191,Bengalí,8,Hipertiroidismo,Antibióticos,Mejora
191,192,Ragdoll,5,Alergias,Antihistamínicos,Sin Cambio
192,193,Bengalí,11,Infección urinaria,Antihistamínicos,Sin Cambio
193,194,Persa,2,Enfermedad renal,Antibióticos,Sin Cambio
194,195,British Shorthair,3,Enfermedad renal,Antihistamínicos,Mejora
195,196,Bengalí,2,Alergias,Antibióticos,Sin Cambio
196,197,Ragdoll,1,Alergias,Terapia de fluidos,Mejora
197,198,Ragdoll,3,Infección urinaria,Insulina,Mejora
198,199,Bengalí,12,Infección urinaria,Antihistamínicos,Sin Cambio
199,200,Siamés,8,Hipertiroidismo,Antibióticos,Sin Cambio
200,201,Persa,13,Diabetes,Medicación tiroidea,Sin Cambio
201,202,Ragdoll,9,Alergias,Insulina,Deterioro
202,203,Ragdoll,12,Alergias,Medicación tiroidea,Sin Cambio
203,204,Bengalí,13,Diabetes,Medicación tiroidea,Mejora
204,205,Siamés,5,Hipertiroidismo,Antibióticos,Sin Cambio
205,206,Persa,12,Alergias,Antihistamínicos,Deterioro
206,207,Ragdoll,5,Enfermedad renal,Antibióticos,Mejora
207,208,Ragdoll,1,Hipertiroidismo,Antibióticos,Sin Cambio
208,209,Ragdoll,14,Infección urinaria,Insulina,Deterioro
209,210,British Shorthair,7,Hipertiroidismo,Medicación tiroidea,Sin Cambio
210,211,Ragdoll,11,Alergias,Insulina,Deterioro
211,212,Siamés,14,Infección urinaria,Medicación tiroidea,Deterioro
212,213,British Shorthair,4,Hipertiroidismo,Medicación tiroidea,Sin Cambio
213,214,Siamés,2,Diabetes,Insulina,Sin Cambio
214,215,British Shorthair,13,Hipertiroidismo,Antihistamínicos,Mejora
215,216,British Shorthair,2,Infección urinaria,Antihistamínicos,Sin Cambio
216,217,Persa,1,Hipertiroidismo,Antihistamínicos,Mejora
217,218,Bengalí,11,Enfermedad renal,Medicación tiroidea,Mejora
218,219,Ragdoll,1,Alergias,Medicación tiroidea,Mejora
219,220,Persa,11,Alergias,Terapia de fluidos,Deterioro
220,221,Siamés,2,Hipertiroidismo,Antihistamínicos,Mejora
221,222,Bengalí,15,Diabetes,Insulina,Sin Cambio
222,223,Siamés,10,Diabetes,Antihistamínicos,Mejora
223,224,Persa,8,Enfermedad renal,Insulina,Mejora
224,225,Persa,11,Diabetes,Antibióticos,Mejora
225,226,Siamés,13,Enfermedad renal,Insulina,Mejora
226,227,British Shorthair,4,Infección urinaria,Terapia de fluidos,Mejora
227,228,Siamés,15,Diabetes,Antibióticos,Mejora
228,229,British Shorthair,6,Enfermedad renal,Medicación tiroidea,Deterioro
229,230,Persa,13,Enfermedad renal,Antihistamínicos,Mejora
230,231,Ragdoll,9,Enfermedad renal,Medicación tiroidea,Mejora
231,232,Bengalí,11,Alergias,Insulina,Mejora
232,233,British Shorthair,3,Enfermedad renal,Antibióticos,Deterioro
233,234,British Shorthair,8,Enfermedad renal,Antibióticos,Mejora
234,235,Ragdoll,7,Enfermedad renal,Terapia de fluidos,Deterioro
235,236,Siamés,9,Hipertiroidismo,Antibióticos,Deterioro
236,237,Persa,11,Alergias,Antihistamínicos,Mejora
237,238,British Shorthair,12,Infección urinaria,Insulina,Mejora
238,239,Ragdoll,4,Alergias,Antihistamínicos,Sin Cambio
239,240,Ragdoll,1,Alergias,Antihistamínicos,Mejora
240,241,Persa,6,Infección urinaria,Terapia de fluidos,Sin Cambio
241,242,Bengalí,10,Diabetes,Insulina,Mejora
242,243,Ragdoll,4,Alergias,Insulina,Mejora
243,244,British Shorthair,11,Hipertiroidismo,Insulina,Sin Cambio
244,245,Ragdoll,10,Diabetes,Medicación tiroidea,Mejora
245,246,Ragdoll,4,Hipertiroidismo,Antibióticos,Sin Cambio
246,247,Ragdoll,12,Hipertiroidismo,Terapia de fluidos,Mejora
247,248,British Shorthair,14,Enfermedad renal,Antibióticos,Deterioro
248,249,British Shorthair,5,Enfermedad renal,Medicación tiroidea,Sin Cambio
249,250,Ragdoll,13,Diabetes,Antibióticos,Mejora
250,251,Bengalí,15,Hipertiroidismo,Terapia de fluidos,Sin Cambio
251,252,British Shorthair,15,Alergias,Insulina,Deterioro
252,253,Siamés,6,Hipertiroidismo,Terapia de fluidos,Mejora
253,254,British Shorthair,5,Infección urinaria,Terapia de fluidos,Sin Cambio
254,255,Bengalí,1,Enfermedad renal,Terapia de fluidos,Deterioro
255,256,British Shorthair,1,Alergias,Insulina,Sin Cambio
256,257,Siamés,13,Hipertiroidismo,Antibióticos,Mejora
257,258,Persa,5,Infección urinaria,Medicación tiroidea,Mejora
258,259,British Shorthair,7,Diabetes,Antibióticos,Deterioro
259,260,Persa,7,Enfermedad renal,Terapia de fluidos,Sin Cambio
260,261,Siamés,7,Diabetes,Antihistamínicos,Mejora
261,262,Ragdoll,10,Diabetes,Antihistamínicos,Sin Cambio
262,263,Siamés,4,Hipertiroidismo,Antibióticos,Mejora
263,264,British Shorthair,12,Alergias,Antihistamínicos,Sin Cambio
264,265,Siamés,14,Enfermedad renal,Terapia de fluidos,Sin Cambio
265,266,Persa,6,Enfermedad renal,Antihistamínicos,Sin Cambio
266,267,British Shorthair,7,Diabetes,Terapia de fluidos,Deterioro
267,268,Siamés,8,Alergias,Antihistamínicos,Sin Cambio
268,269,Bengalí,10,Hipertiroidismo,Insulina,Sin Cambio
269,270,British Shorthair,6,Enfermedad renal,Terapia de fluidos,Deterioro
270,271,Siamés,8,Diabetes,Antibióticos,Mejora
271,272,Siamés,15,Alergias,Medicación tiroidea,Mejora
272,273,Siamés,2,Diabetes,Antihistamínicos,Deterioro
273,274,Persa,14,Hipertiroidismo,Antihistamínicos,Deterioro
274,275,Ragdoll,15,Alergias,Terapia de fluidos,Mejora
275,276,Persa,14,Alergias,Insulina,Deterioro
276,277,Siamés,15,Infección urinaria,Insulina,Deterioro
277,278,Siamés,14,Alergias,Insulina,Mejora
278,279,Ragdoll,13,Infección urinaria,Insulina,Deterioro
279,280,Persa,5,Infección urinaria,Medicación tiroidea,Mejora
280,281,Ragdoll,7,Hipertiroidismo,Antihistamínicos,Mejora
281,282,Persa,13,Alergias,Terapia de fluidos,Mejora
282,283,Bengalí,7,Hipertiroidismo,Insulina,Mejora
283,284,Siamés,14,Diabetes,Terapia de fluidos,Mejora
284,285,Persa,7,Diabetes,Antibióticos,Mejora
285,286,Siamés,9,Infección urinaria,Medicación tiroidea,Sin Cambio
286,287,Bengalí,9,Hipertiroidismo,Insulina,Deterioro
287,288,British Shorthair,3,Diabetes,Antibióticos,Mejora
288,289,Bengalí,10,Infección urinaria,Antihistamínicos,Mejora
289,290,Bengalí,11,Enfermedad renal,Insulina,Mejora
290,291,British Shorthair,15,Alergias,Insulina,Mejora
291,292,Siamés,12,Diabetes,Insulina,Sin Cambio
292,293,Siamés,11,Infección urinaria,Antibióticos,Mejora
293,294,British Shorthair,12,Diabetes,Antibióticos,Sin Cambio
294,295,Persa,10,Hipertiroidismo,Antihistamínicos,Sin Cambio
295,296,Siamés,12,Hipertiroidismo,Insulina,Sin Cambio
296,297,Siamés,15,Alergias,Insulina,Sin Cambio
297,298,British Shorthair,11,Hipertiroidismo,Antihistamínicos,Mejora
298,299,British Shorthair,8,Hipertiroidismo,Medicación tiroidea,Deterioro
299,300,Bengalí,2,Diabetes,Medicación tiroidea,Mejora
300,301,Persa,15,Enfermedad renal,Antihistamínicos,Mejora
301,302,Siamés,9,Hipertiroidismo,Insulina,Mejora
302,303,Siamés,1,Hipertiroidismo,Antihistamínicos,Deterioro
303,304,Ragdoll,14,Enfermedad renal,Insulina,Mejora
304,305,Persa,8,Enfermedad renal,Antihistamínicos,Mejora
305,306,Ragdoll,14,Alergias,Terapia de fluidos,Mejora
306,307,Persa,11,Hipertiroidismo,Antibióticos,Sin Cambio
307,308,Ragdoll,5,Hipertiroidismo,Antihistamínicos,Mejora
308,309,Bengalí,11,Diabetes,Medicación tiroidea,Sin Cambio
309,310,Ragdoll,15,Enfermedad renal,Terapia de fluidos,Mejora
310,311,Siamés,12,Diabetes,Insulina,Mejora
311,312,British Shorthair,6,Enfermedad renal,Antibióticos,Mejora
312,313,Bengalí,3,Diabetes,Insulina,Mejora
313,314,Siamés,14,Enfermedad renal,Medicación tiroidea,Sin Cambio
314,315,British Shorthair,8,Diabetes,Medicación tiroidea,Sin Cambio
315,316,Ragdoll,10,Alergias,Antibióticos,Mejora
316,317,British Shorthair,7,Infección urinaria,Medicación tiroidea,Mejora
317,318,Persa,13,Enfermedad renal,Antibióticos,Deterioro
318,319,Persa,3,Alergias,Antihistamínicos,Deterioro
319,320,Bengalí,10,Infección urinaria,Insulina,Mejora
320,321,Persa,8,Enfermedad renal,Antihistamínicos,Mejora
321,322,Bengalí,13,Infección urinaria,Antihistamínicos,Mejora
322,323,Persa,2,Infección urinaria,Terapia de fluidos,Mejora
323,324,Bengalí,9,Infección urinaria,Antibióticos,Mejora
324,325,Ragdoll,10,Infección urinaria,Antibióticos,Mejora
325,326,Siamés,1,Infección urinaria,Insulina,Sin Cambio
326,327,Persa,14,Alergias,Antihistamínicos,Mejora
327,328,British Shorthair,15,Diabetes,Insulina,Deterioro
328,329,Bengalí,3,Enfermedad renal,Insulina,Mejora
329,330,Persa,10,Diabetes,Antibióticos,Deterioro
330,331,Persa,8,Diabetes,Antibióticos,Sin Cambio
331,332,Bengalí,6,Infección urinaria,Antihistamínicos,Sin Cambio
332,333,Siamés,12,Infección urinaria,Antibióticos,Deterioro
333,334,Siamés,11,Alergias,Antibióticos,Sin Cambio
334,335,Siamés,3,Infección urinaria,Antihistamínicos,Sin Cambio
335,336,Siamés,7,Infección urinaria,Antihistamínicos,Sin Cambio
336,337,British Shorthair,7,Diabetes,Medicación tiroidea,Sin Cambio
337,338,Ragdoll,14,Enfermedad renal,Terapia de fluidos,Deterioro
338,339,Persa,13,Enfermedad renal,Medicación tiroidea,Mejora
339,340,Siamés,15,Infección urinaria,Antibióticos,Mejora
340,341,Bengalí,4,Infección urinaria,Insulina,Sin Cambio
341,342,Bengalí,11,Diabetes,Medicación tiroidea,Mejora
342,343,Persa,7,Enfermedad renal,Antihistamínicos,Mejora
343,344,Ragdoll,11,Alergias,Medicación tiroidea,Sin Cambio
344,345,Ragdoll,15,Diabetes,Medicación tiroidea,Sin Cambio
345,346,Bengalí,13,Hipertiroidismo,Terapia de fluidos,Mejora
346,347,British Shorthair,5,Alergias,Antibióticos,Mejora
347,348,Ragdoll,4,Alergias,Terapia de fluidos,Sin Cambio
348,349,Ragdoll,12,Alergias,Terapia de fluidos,Mejora
349,350,Siamés,10,Alergias,Antihistamínicos,Mejora
350,351,Siamés,12,Diabetes,Medicación tiroidea,Mejora
351,352,British Shorthair,13,Diabetes,Medicación tiroidea,Sin Cambio
352,353,British Shorthair,2,Infección urinaria,Medicación tiroidea,Mejora
353,354,Siamés,7,Infección urinaria,Insulina,Sin Cambio
354,355,Persa,10,Hipertiroidismo,Antibióticos,Mejora
355,356,Bengalí,9,Diabetes,Terapia de fluidos,Mejora
356,357,British Shorthair,1,Alergias,Antibióticos,Deterioro
357,358,Ragdoll,1,Alergias,Terapia de fluidos,Deterioro
358,359,British Shorthair,5,Hipertiroidismo,Insulina,Mejora
359,360,Persa,11,Enfermedad renal,Terapia de fluidos,Sin Cambio
360,361,British Shorthair,6,Hipertiroidismo,Antihistamínicos,Sin Cambio
361,362,Ragdoll,11,Infección urinaria,Insulina,Mejora
362,363,British Shorthair,15,Infección urinaria,Insulina,Deterioro
363,364,Ragdoll,10,Infección urinaria,Insulina,Sin Cambio
364,365,Persa,4,Infección urinaria,Antihistamínicos,Deterioro
365,366,Bengalí,1,Alergias,Medicación tiroidea,Mejora
366,367,Persa,2,Diabetes,Terapia de fluidos,Sin Cambio
367,368,Ragdoll,13,Hipertiroidismo,Insulina,Mejora
368,369,Bengalí,7,Infección urinaria,Antibióticos,Mejora
369,370,Siamés,11,Alergias,Terapia de fluidos,Mejora
370,371,Siamés,2,Hipertiroidismo,Antihistamínicos,Mejora
371,372,British Shorthair,9,Infección urinaria,Terapia de fluidos,Mejora
372,373,Ragdoll,7,Infección urinaria,Terapia de fluidos,Mejora
373,374,Bengalí,13,Infección urinaria,Antihistamínicos,Sin Cambio
374,375,Bengalí,3,Enfermedad renal,Antibióticos,Sin Cambio
375,376,Bengalí,7,Infección urinaria,Terapia de fluidos,Sin Cambio
376,377,Ragdoll,7,Infección urinaria,Insulina,Deterioro
377,378,Bengalí,15,Enfermedad renal,Insulina,Mejora
378,379,Ragdoll,4,Diabetes,Terapia de fluidos,Sin Cambio
379,380,Persa,10,Alergias,Antibióticos,Mejora
380,381,British Shorthair,11,Enfermedad renal,Terapia de fluidos,Deterioro
381,382,British Shorthair,12,Hipertiroidismo,Insulina,Sin Cambio
382,383,British Shorthair,6,Infección urinaria,Insulina,Mejora
383,384,Bengalí,13,Infección urinaria,Antibióticos,Deterioro
384,385,Ragdoll,4,Hipertiroidismo,Antihistamínicos,Mejora
385,386,British Shorthair,7,Alergias,Antibióticos,Mejora
386,387,Ragdoll,3,Infección urinaria,Antihistamínicos,Sin Cambio
387,388,British Shorthair,12,Alergias,Antihistamínicos,Mejora
388,389,Persa,9,Diabetes,Antibióticos,Sin Cambio
389,390,British Shorthair,5,Hipertiroidismo,Medicación tiroidea,Sin Cambio
390,391,British Shorthair,1,Infección urinaria,Terapia de fluidos,Mejora
391,392,British Shorthair,5,Infección urinaria,Antihistamínicos,Mejora
392,393,Bengalí,2,Enfermedad renal,Medicación tiroidea,Mejora
393,394,Ragdoll,12,Alergias,Antibióticos,Mejora
394,395,Siamés,4,Enfermedad renal,Insulina,Mejora
395,396,Bengalí,12,Alergias,Medicación tiroidea,Mejora
396,397,Ragdoll,8,Alergias,Antihistamínicos,Sin Cambio
397,398,Siamés,14,Alergias,Antibióticos,Sin Cambio
398,399,Siamés,9,Enfermedad renal,Antibióticos,Mejora
399,400,Siamés,3,Infección urinaria,Medicación tiroidea,Deterioro
400,401,Ragdoll,3,Alergias,Antihistamínicos,Mejora
401,402,Bengalí,7,Hipertiroidismo,Terapia de fluidos,Mejora
402,403,Persa,5,Infección urinaria,Insulina,Sin Cambio
403,404,Ragdoll,3,Infección urinaria,Antibióticos,Mejora
404,405,Siamés,7,Enfermedad renal,Medicación tiroidea,Deterioro
405,406,Siamés,9,Alergias,Medicación tiroidea,Mejora
406,407,Persa,13,Hipertiroidismo,Terapia de fluidos,Mejora
407,408,Ragdoll,12,Diabetes,Terapia de fluidos,Deterioro
408,409,Siamés,7,Enfermedad renal,Antibióticos,Sin Cambio
409,410,Ragdoll,6,Enfermedad renal,Medicación tiroidea,Sin Cambio
410,411,British Shorthair,7,Alergias,Antihistamínicos,Mejora
411,412,Siamés,10,Enfermedad renal,Medicación tiroidea,Mejora
412,413,Ragdoll,5,Infección urinaria,Antibióticos,Deterioro
